Challenges_BuildCoaster_AverageSpeed,'Build a Coaster with an Average Speed of at least {Target}'
Challenges_BuildCoaster_CycleTime,'Build a Coaster that lasts at least {Target:float:decimalPlaces=0} seconds'
Challenges_BuildCoaster_Excitement,'Build a Coaster with at least {Target:float:decimalPlaces=1} Excitement'
Challenges_BuildCoaster_Label,'Coaster Challenge'
Challenges_BuildCoaster_Length,'Build a Coaster at least {Target} long'
Challenges_BuildCoaster_MaxDrop,'Build a Coaster with a Biggest Drop of at least {Target}'
Challenges_BuildCoaster_MaxSpeed,'Build a Coaster that reaches {Target}'
Challenges_BuildCoaster_NumAirTime,'Build a Coaster with at least {Target:float:decimalPlaces=0} sections of Air Time'
Challenges_BuildCoaster_NumInversions,'Build a Coaster with at least {Target:float:decimalPlaces=0} Inversions'
Challenges_BuildCoaster_TotalAirTime,'Build a Coaster with at least {Target:float:decimalPlaces=0} seconds of Air Time'
Challenges_CashProfitAll,'Achieve a Monthly Profit of {Target:currency}'
Challenges_CashProfitCoasters,'Achieve a Monthly Profit from Coasters of {Target:currency}'
Challenges_CashProfit_Label,'Profit Challenge'
Challenges_CashProfitRides,'Achieve a Monthly Profit from Rides of {Target:currency}'
Challenges_CashProfitShopsFacilities,'Achieve a Monthly Profit from Shops and Facilities of {Target:currency}'
Challenges_Claim,'Claim Reward! {Value:currency}'
Challenges_Complete,'Challenge Complete!'
Challenges_Delete,'Delete this Challenge'
Challenges_Empty,'No active Challenge'
Challenges_GuestHappiness,'Raise Average Guest Happiness to {Target:float:decimalPlaces=0}%'
Challenges_GuestHappiness_Label,'Guest Happiness Challenge'
Challenges_GuestHappiness_NeedGuests,'Raise Average Guest Happiness to {Target:float:decimalPlaces=0}%<newline>Requires {MinGuests:int} Guests'
Challenges_ParkRatingAll,'Achieve a Park Rating of {Target:int}'
Challenges_ParkRatingBalance,'Achieve a Park Balance Bonus of {Target:int}'
Challenges_ParkRating_Label,'Park Rating Challenge'
Challenges_ParkRatingRides,'Achieve a Ride Rating of {Target:int}'
Challenges_ParkRatingScenery,'Achieve a Scenery Rating of {Target:int}'
