NewsletterCountry_at,'Austria'
NewsletterCountry_au,'Australia'
NewsletterCountry_be,'Belgia'
NewsletterCountry_bg,'Bułgaria'
NewsletterCountry_br,'Brazylia'
NewsletterCountry_ca,'Kanada'
NewsletterCountry_ch,'Szwajcaria'
NewsletterCountry_cn,'Chiny'
NewsletterCountry_cz,'Czechy'
NewsletterCountry_de,'Niemcy'
NewsletterCountry_es,'Hiszpania'
NewsletterCountry_fi,'Finlandia'
NewsletterCountry_fr,'Francja'
NewsletterCountry_gb,'Wielka Brytania'
NewsletterCountry_gr,'Grecja'
NewsletterCountry_hk,'Hong Kong'
NewsletterCountry_hu,'Węgry'
NewsletterCountry_id,'Indonezja'
NewsletterCountry_ie,'Irlandia'
NewsletterCountry_il,'Izrael'
NewsletterCountry_in,'Indie'
NewsletterCountry_it,'Włochy'
NewsletterCountry_jp,'Japopnia'
NewsletterCountry_kr,'Południowa Korea'
NewsletterCountry_mx,'Meksyk'
NewsletterCountry_my,'Malezja'
NewsletterCountry_nl,'Holandia'
NewsletterCountry_no,'Norwegia'
NewsletterCountry_nz,'Nowa Zelandia'
NewsletterCountry_other,'Inne'
NewsletterCountry_ph,'Filipiny'
NewsletterCountry_pl,'Polska'
NewsletterCountry_pr,'Puerto Rico'
NewsletterCountry_pt,'Portugalia'
NewsletterCountry_ro,'Rumunia'
NewsletterCountry_ru,'Rosja'
NewsletterCountry_se,'Szwecja'
NewsletterCountry_th,'Tajlandia'
NewsletterCountry_tr,'Turcja'
NewsletterCountry_ua,'Ukraina'
NewsletterCountry_us,'Stany Zjednoczone'
